value,County,Area_sta,FCA,FCR,FP_GAEZ,Area_map,FP_real
-9999,0,0.0,0,0.0,0,0,0
1,0,0.0,0,0.0,0,0,0
13,0,0.0,0,0.0,0,0,0
9,Changpin,24166.6,2078,0.067700528,12038,30694,8264
10,Chaoyang,3187.57,20,0.002399808,158,8334,91
3,Daxing,48623.75,19144,0.310064462,136575,61742,124159
8,Fangshan,40598.47,12324,0.336712112,71759,36601,62232
2,Fengtai,2883.78,86,0.020934761,604,4108,387
11,Haidian,4542.31,466,0.047546169000000006,2774,9801,2839
7,Huairou,27692.28,7622,0.34431043100000003,25436,22137,44140
15,Mentougou,6050.88,1009,0.165981247,1046,6079,1269
4,Miyun,46754.88,12375,0.29061575300000003,48907,42582,49856
5,Pinggu,35096.8,8467,0.283338353,48009,29883,49084
12,Shijinshan,132.03,0,0.0,0,17,0
16,Shunyi,38522.95,16039,0.28172700300000003,123882,56931,97884
14,Tongzhou,36979.16,10044,0.19865899199999998,70302,50559,61821
6,Yanqing,38952.92,14779,0.324841744,54820,45496,105209
